G1,,441683.453,2565365.002,1227.998
G2,,441447.003,2565443.001,1228.798
G3,,441558.504,2565209.443,1227.689
KZD1,,440764.450,2564500.000,343.998
KZD2,,440528.000,2564578.000,344.798
KZD3,,440639.500,2564344.439,343.689
KZD4,,440646.500,2564484.200,343.859
KZD5,,440552.500,2564462.000,343.619
KZD6,,440583.600,2564330.000,343.540
K7,,440401.202,2564488.828,343.613
K8,,440417.695,2564439.534,343.549
K9,,440439.422,2564344.581,343.540
K10,,440378.142,2564564.058,344.213
K11,,440339.207,2564563.464,348.191
K12,,440353.463,2564499.502,343.531
K13,,440366.921,2564444.100,343.661
K14,,440381.325,2564410.472,343.940
K15,,440403.328,2564392.663,343.696
K16,,440487.524,2564359.494,343.541
K17,,440467.015,2564452.146,343.543
K18,,440448.471,2564523.509,343.663
K19,,440433.861,2564580.514,345.747
K20,,440569.544,2564388.622,343.545
G4,,440338.302,2564564.500,348.258
G5,,440346.780,2564564.011,346.523
G6,,440356.877,2564563.594,344.472
G7,,440365.494,2564562.308,344.181
G8,,440371.916,2564562.353,344.185
G9,,440378.229,2564563.739,344.193
G10,,440380.130,2564556.529,344.197
G11,,440381.991,2564550.007,344.204
G12,,440383.726,2564542.512,344.179
G13,,440386.168,2564532.137,343.836
G14,,440389.343,2564519.319,343.661
G15,,440391.925,2564509.142,343.667
G16,,440394.942,2564497.414,343.672
G17,,440397.131,2564490.680,343.662
G18,,440401.146,2564481.959,343.570
G19,,440404.181,2564471.987,343.543
G20,,440407.936,2564459.242,343.526
G21,,440410.836,2564449.239,343.517
G22,,440413.601,2564439.240,343.526
G23,,440416.506,2564428.749,343.520
G24,,440419.766,2564415.956,343.517
G25,,440423.228,2564401.981,343.516
G26,,440426.262,2564389.660,343.517
G27,,440429.159,2564377.705,343.524
G28,,440432.441,2564364.810,343.518
G29,,440435.893,2564350.884,343.521
G30,,440442.273,2564341.941,343.516
G31,,440453.438,2564340.472,343.514
G32,,440461.761,2564341.873,343.517
G33,,440467.727,2564343.272,343.517
G34,,440475.230,2564345.174,343.517
G35,,440480.695,2564346.597,343.523
G36,,440485.723,2564347.803,343.535
G37,,440488.702,2564348.582,343.520
G38,,440488.702,2564348.581,343.520
G39,,440490.987,2564342.640,343.556
G40,,440493.499,2564335.147,343.523
G41,,440495.287,2564329.850,343.521
G42,,440497.004,2564326.332,343.520
G43,,440499.163,2564323.562,343.524
G44,,440501.572,2564321.861,343.519
G45,,440505.458,2564320.122,343.520
G46,,440509.278,2564318.985,343.523
